Category,Quantity,References,Value,Stock Code,Unit Cost
Capacitors,1,C1,100nF,478-3755-1-ND,"R$0,10"
Capacitors,1,C2,10uF,478-8150-1-ND,"R$0,32"
Capacitors,1,C3,470pF,399-7067-1-ND,"R$0,38"
Capacitors,1,C4,22pF,490-1411-1-ND,"R$0,10"
Capacitors,4,"C5,C10-C12",100n,478-3755-1-ND,"R$0,10"
Capacitors,1,C6,33pF,490-1415-1-ND,"R$0,10"
Capacitors,1,C7,3300uF,P5511-ND,"R$0,67"
Capacitors,1,C8,10pF,490-1403-1-ND,"R$0,10"
Resistors,7,R1-R7,330R,RHM330KCT-ND,"R$0,10"
Resistors,3,R8-R10,51R,CRM0805-FX-51R0ELFCT-ND,"R$0,10"
Resistors,1,R15,71.5K,311-71.5KCRCT-ND,"R$0,10"
Resistors,1,R16,30.1K,311-30.1KCRCT-ND,"R$0,10"
Integrated Circuits,1,U1,SIMCOM800C,,"R$7,00"
Miscellaneous,1,ANT,WM5587CT-ND,WM5587CT-ND,"R$0,73"
Miscellaneous,1,BT_ANT,BT_ANT,553-1530-1-ND,"R$1,62"
Miscellaneous,1,L3,4.7uF,587-2907-1-ND,"R$0,34"
Miscellaneous,1,LEDS,HLW8S-2C7LF,609-1821-ND,"R$0,22"
Miscellaneous,1,PMAIN,ROE-0505S,945-1655-5-ND,"R$2,75"
Miscellaneous,1,SIM1,SF56S006V4BR2000,670-2834-1-ND,"R$1,30"
Miscellaneous,1,TV1,ESDA6V1,497-7227-1-ND,"R$0,46"
